Anzeige-Name der Einheit,Ort,Bruttoleistung der Einheit,Alter (Jahre)
Eliasbrunn M1500,Remptendorf,600.0,33.0
Windrad Langenhain,Waltershausen,,14.0
Windkraft Linda,Linda,5.0,30.0
AN Bonus 600 Nitzschka,Schmölln,600.0,30.0
Windkraftanlage,Sömmerda,,12.0
WKA 2200,Schwarzatal,600.0,30.0
WKA Stobra,Bad Sulza,500.0,31.0
Windkraftanlagen,Unstruttal,,13.0
Windkraft Mühlhäuser Straße 1b,Rodeberg,15.0,13.0
Windrad KWEA FD6.0-5KW,Neustadt,5.0,11.0
Windrad,Rodeberg,,14.0
WINA.G,Werra-Suhl-Tal,500.0,29.0
WH 07,Nessetal,1500.0,27.0
WH 02,Nessetal,1500.0,27.0
TL 01,Kirchheilingen,2000.0,21.0
ADIB,Bad Langensalza,1500.0,25.0
NK01,Eisenach,1300.0,26.0
NK07,Eisenach,1300.0,26.0
NK09,Eisenach,1500.0,24.0
Fu 01 Her,Hermsdorf,98.0,30.0
Windmühle 1,Göpfersdorf,600.0,29.0
Sünna V44 -nr.2558,Unterbreizbach,600.0,28.0
Windmühle WKA,Göpfersdorf,600.0,29.0
Sünna V44 -nr.2559,Sünna,600.0,28.0
Sünna V44 -nr.2560,Sünna,600.0,28.0
Sünna V47 -nr.1626,Sünna,660.0,26.0
Sünna V47 -nr.1627,Sünna,660.0,26.0
AU01,Auma-Weidatal,500.0,31.0
GL02,Gangloffsömmern,1500.0,24.0
KH05,Kirchheilingen,1300.0,27.0
KH12,Kirchheilingen,1500.0,26.0
Windkraft in Bürgerhand,Auma-Weidatal,500.0,29.0
NK-B-3-F,Eisenach,500.0,28.0
NK-B-4-F,Eisenach,500.0,28.0
NK-B-5-F,Eisenach,500.0,28.0
NK-B-6-F,Eisenach,500.0,28.0
NK-B-2-F,Eisenach,500.0,28.0
AU 02,Auma-Weidatal,500.0,31.0
WKA Hartha,Schmölln,600.0,30.0
HR01,Eisenach,600.0,26.0
HR03,Eisenach,600.0,24.0
AU 04,Auma-Weidatal,1500.0,28.0
NK-B-1-F,Eisenach,500.0,28.0
E53 531489,Bad Sulza,800.0,13.0
E82 825366,Bad Sulza,2300.0,13.0
E82 825365,Bad Sulza,2300.0,13.0
E82 825817,Bad Sulza,2300.0,12.0
E82 825815,Bad Sulza,2300.0,12.0
E82 825816,Bad Sulza,2300.0,12.0
ADM03,Schloßvippach,2000.0,20.0
ADM04,Schloßvippach,2000.0,20.0
ADM11,Schloßvippach,2000.0,20.0
ADM09,Schloßvippach,2000.0,20.0
ADM10,Schloßvippach,2000.0,20.0
ADM12,Schloßvippach,2000.0,20.0
ADM05,Schloßvippach,2000.0,19.0
ADM06,Schloßvippach,2000.0,19.0
ADM07,Schloßvippach,2000.0,19.0
ADM08,Schloßvippach,2000.0,19.0
V67565 (WEA 11),Frauenprießnitz,900.0,24.0
NK-B-15-F,Eisenach,2000.0,22.0
NK-B-16-F,Eisenach,2000.0,22.0
NK-B-27-F,Eisenach,2000.0,22.0
Windrad Mehna Rittergut Schwanditz,Mehna,250.0,33.0
ABR909161316220,Schloßvippach,1500.0,27.0
ABR909161316220,Schloßvippach,1500.0,27.0
WEA Meuselwitz Guss,Lucka,600.0,22.0
Oettersdorf,Oettersdorf,600.0,28.0
TG 07,Hörselberg-Hainich,2000.0,11.0
