"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE994641692888";"WEA Nägelstedt 09";"In Planung";"";"11.9.2026";"Wind";"6800";"6800";"99947";"Bad Langensalza";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"11.9.2026"
"SEE963575904640";"WEA03";"In Betrieb";"1.9.2026";"4.9.2026";"Wind";"6200";"6200";"99638";"Kindelbrück";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"4.9.2026"
"SEE968328067368";"WEA04";"In Betrieb";"1.9.2026";"4.9.2026";"Wind";"6200";"6200";"99638";"Kindelbrück";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"4.9.2026"
"SEE997977462859";"WEA07";"In Betrieb";"1.9.2026";"4.9.2026";"Wind";"6200";"6200";"99631";"Günstedt";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"4.9.2026"
"SEE959650446341";"HR18.1";"In Betrieb";"17.8.2026";"19.8.2026";"Wind";"6000";"6000";"99820";"Hörselberg-Hainich";"Windkraft Hötzelsroda GmbH & Co. KG";"ABR919390188161";"19.8.2026"
"SEE970647119062";"ABO Energy WP Sonnenstein WEA 1";"In Planung";"";"14.8.2026";"Wind";"7000";"7000";"37345";"Sonnenstein";"ABO Wind WP Sonnenstein GmbH & Co. KG";"ABR922638009623";"14.8.2026"
"SEE901915280450";"ABO Energy WP Sonnenstein WEA 2";"In Planung";"";"14.8.2026";"Wind";"7000";"7000";"37345";"Sonnenstein";"ABO Wind WP Sonnenstein GmbH & Co. KG";"ABR922638009623";"14.8.2026"
"SEE913705731028";"ABO Energy WP Sonnenstein WEA 3";"In Planung";"";"14.8.2026";"Wind";"7000";"7000";"37345";"Sonnenstein";"ABO Wind WP Sonnenstein GmbH & Co. KG";"ABR922638009623";"14.8.2026"
"SEE993120186399";"ABO Energy WP Sonnenstein WEA 4";"In Planung";"";"14.8.2026";"Wind";"7000";"7000";"37345";"Sonnenstein";"ABO Wind WP Sonnenstein GmbH & Co. KG";"ABR922638009623";"14.8.2026"
"SEE948892898162";"Windgenerator ISTABREEZE, 2KW";"In Betrieb";"27.6.2026";"10.8.2026";"Wind";"2";"2";"37308";"Heilbad Heiligenstadt";"(natürliche Person)";"ABR960533603850";"10.8.2026"
"SEE900003441513";"HR19.1";"In Betrieb";"14.7.2026";"15.7.2026";"Wind";"6000";"6000";"99817";"Eisenach";"Windkraft Hötzelsroda GmbH & Co. KG";"ABR919390188161";"15.7.2026"
"SEE987307955526";"HR20.1";"In Betrieb";"7.7.2026";"10.7.2026";"Wind";"6000";"6000";"99817";"Eisenach";"Windkraft Hötzelsroda GmbH & Co. KG";"ABR919390188161";"10.7.2026"
"SEE950177992335";"Gerstungen-Ost WEA 01";"In Planung";"";"2.7.2026";"Wind";"6800";"6800";"99834";"Gerstungen";"JUWI GmbH";"ABR941190092140";"2.7.2026"
"SEE964024211814";"Gerstungen-Ost WEA 02";"In Planung";"";"2.7.2026";"Wind";"6800";"6800";"99834";"Gerstungen";"JUWI GmbH";"ABR941190092140";"2.7.2026"
"SEE991378373646";"Gerstungen-Ost WEA 04";"In Planung";"";"2.7.2026";"Wind";"6800";"6800";"99834";"Gerstungen";"JUWI GmbH";"ABR941190092140";"2.7.2026"
"SEE999564312042";"HR21";"In Betrieb";"22.6.2026";"23.6.2026";"Wind";"6000";"6000";"99820";"Hörselberg-Hainich";"Windkraft Hötzelsroda GmbH & Co. KG";"ABR919390188161";"13.8.2026"
"SEE944456759771";"WEA 1";"In Planung";"";"4.6.2026";"Wind";"7000";"7000";"98617";"Vachdorf";"Windpark Vachdorf GmbH & Co. KG";"ABR945103334969";"6.9.2026"
"SEE908601563224";"WEA 2";"In Planung";"";"4.6.2026";"Wind";"7000";"7000";"98617";"Vachdorf";"Windpark Vachdorf GmbH & Co. KG";"ABR945103334969";"6.9.2026"
"SEE982938000218";"Windrad Hausdach 1";"In Betrieb";"16.3.2026";"4.5.2026";"Wind";"1";"1";"99885";"Ohrdruf";"(natürliche Person)";"ABR933901334977";"4.5.2026"
"SEE975022007057";"GR23";"In Planung";"";"2.4.2026";"Wind";"7200";"7200";"99718";"Greußen";"BOREAS Energie GmbH";"ABR909054335185";"2.4.2026"
"SEE960957229117";"GR25";"In Planung";"";"2.4.2026";"Wind";"6000";"6000";"99718";"Greußen";"BOREAS Energie GmbH";"ABR909054335185";"2.4.2026"
"SEE935904496584";"Buettstedt R04";"In Planung";"";"30.3.2026";"Wind";"4260";"4260";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"30.3.2026"
"SEE985813475798";"Buettstedt R06";"In Planung";"";"30.3.2026";"Wind";"7000";"7000";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"30.3.2026"
"SEE998625136955";"Buettstedt R07";"In Planung";"";"30.3.2026";"Wind";"7000";"7000";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"30.3.2026"
"SEE970981782922";"Buettstedt R08";"In Planung";"";"30.3.2026";"Wind";"4260";"4260";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"1.7.2026"
"SEE919799256416";"Buettstedt R11";"In Planung";"";"30.3.2026";"Wind";"4260";"4260";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"30.3.2026"
"SEE987644803320";"Buettstedt R13";"In Planung";"";"30.3.2026";"Wind";"4260";"4260";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"30.3.2026"
"SEE975201831572";"WP Gebstedt WEA 06";"In Planung";"";"29.3.2026";"Wind";"7200";"7200";"99510";"Apolda";"Windpark Gebstedt GmbH & Co. KG";"ABR920928815862";"29.3.2026"
"SEE910145993962";"WP Gebstedt WEA 07";"In Planung";"";"29.3.2026";"Wind";"7200";"7200";"99510";"Apolda";"Windpark Gebstedt GmbH & Co. KG";"ABR920928815862";"29.3.2026"
"SEE940619964136";"WEA Straußfurt 01";"In Planung";"";"27.3.2026";"Wind";"6800";"6800";"99634";"Straußfurt";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"27.3.2026"
"SEE984903954526";"WEA Straußfurt 02";"In Planung";"";"27.3.2026";"Wind";"6800";"6800";"99634";"Straußfurt";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"27.3.2026"
"SEE900841206558";"WEA Straußfurt 03";"In Planung";"";"27.3.2026";"Wind";"6800";"6800";"99634";"Straußfurt";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"27.3.2026"
"SEE917771743107";"WP Großliebringen GRL1";"In Planung";"";"26.3.2026";"Wind";"7200";"7200";"99326";"Stadtilm";"enerlogo GmbH & Co. KG";"ABR956216717358";"2.4.2026"
"SEE927677533047";"WP Großliebringen GRL2";"In Planung";"";"26.3.2026";"Wind";"7200";"7200";"99326";"Stadtilm";"enerlogo GmbH & Co. KG";"ABR956216717358";"2.4.2026"
"SEE979335564511";"WP Großliebringen GRL3";"In Planung";"";"26.3.2026";"Wind";"7200";"7200";"99326";"Stadtilm";"enerlogo GmbH & Co. KG";"ABR956216717358";"2.4.2026"
"SEE970541622491";"WP Großliebringen GRL6";"In Planung";"";"26.3.2026";"Wind";"4200";"4200";"99326";"Stadtilm";"enerlogo GmbH & Co. KG";"ABR956216717358";"2.4.2026"
"SEE986631068346";"KWKA Stiftstr.";"In Betrieb";"8.3.2026";"10.3.2026";"Wind";"2,5";"2,5";"37308";"Schimberg";"(natürliche Person)";"ABR904670291174";"10.3.2026"
"SEE980258892216";"WP Gebstedt WEA 01";"In Betrieb";"22.12.2025";"23.1.2026";"Wind";"4200";"4200";"99510";"Ilmtal-Weinstraße";"Windpark Gebstedt EDF RE GmbH & Co. KG";"ABR982409438687";"21.8.2026"
"SEE914301870579";"KIN02";"In Planung";"";"12.1.2026";"Wind";"6000";"6000";"99638";"Kindelbrück";"BOREAS Energie GmbH";"ABR909054335185";"12.1.2026"
"SEE941507369545";"KIN03";"In Planung";"";"12.1.2026";"Wind";"6000";"6000";"99638";"Kindelbrück";"BOREAS Energie GmbH";"ABR909054335185";"12.1.2026"
"SEE907105728702";"KIN04";"In Planung";"";"12.1.2026";"Wind";"6200";"6200";"99638";"Kindelbrück";"BOREAS Energie GmbH";"ABR909054335185";"12.1.2026"
"SEE948166524889";"KIN05";"In Planung";"";"12.1.2026";"Wind";"6200";"6200";"99638";"Kindelbrück";"BOREAS Energie GmbH";"ABR909054335185";"12.1.2026"
"SEE931778506718";"KIN06";"In Planung";"";"12.1.2026";"Wind";"7200";"7200";"99638";"Kindelbrück";"BOREAS Energie GmbH";"ABR909054335185";"12.1.2026"
"SEE961565672388";"KIN07";"In Planung";"";"12.1.2026";"Wind";"7200";"7200";"99638";"Kindelbrück";"BOREAS Energie GmbH";"ABR909054335185";"12.1.2026"
"SEE947203472350";"KIN08";"In Planung";"";"12.1.2026";"Wind";"7200";"7200";"99638";"Kindelbrück";"BOREAS Energie GmbH";"ABR909054335185";"12.1.2026"
"SEE930440769185";"ABO Energy Windpark St. Gangloff WEA1";"In Planung";"";"7.1.2026";"Wind";"7000";"7000";"07629";"St. Gangloff";"ABO Energy WP St. Gangloff GmbH & Co. KG";"ABR950570238580";"30.3.2026"
"SEE919500411462";"ABO Energy Windpark St. Gangloff WEA2";"In Planung";"";"7.1.2026";"Wind";"7000";"7000";"07629";"St. Gangloff";"ABO Energy WP St. Gangloff GmbH & Co. KG";"ABR950570238580";"30.3.2026"
"SEE973789733707";"ABO Energy Windpark St. Gangloff WEA5";"In Planung";"";"7.1.2026";"Wind";"7000";"7000";"07629";"St. Gangloff";"ABO Energy WP St. Gangloff GmbH & Co. KG";"ABR950570238580";"30.3.2026"
"SEE976139552126";"ABO Energy Windpark St. Gangloff WEA6";"In Planung";"";"7.1.2026";"Wind";"7000";"7000";"07629";"St. Gangloff";"ABO Energy WP St. Gangloff GmbH & Co. KG";"ABR950570238580";"30.3.2026"
"SEE906122483809";"ABO Energy Windpark St. Gangloff WEA9";"In Planung";"";"7.1.2026";"Wind";"7000";"7000";"07629";"St. Gangloff";"ABO Energy WP St. Gangloff GmbH & Co. KG";"ABR950570238580";"30.3.2026"
"SEE907999564516";"WP Am Heilborn WEA 02";"In Planung";"";"30.12.2025";"Wind";"7200";"7200";"99198";"Udestedt";"PNE AG";"ABR919574103430";"30.12.2025"
"SEE996346365531";"WP Am Heilborn WEA 03";"In Planung";"";"30.12.2025";"Wind";"7200";"7200";"99198";"Udestedt";"PNE AG";"ABR919574103430";"30.12.2025"
"SEE973671800883";"WP Am Heilborn WEA 01";"In Planung";"";"30.12.2025";"Wind";"7200";"7200";"99198";"Udestedt";"PNE AG";"ABR919574103430";"30.12.2025"
"SEE953656847034";"WP Am Heilborn II WEA 04";"In Planung";"";"30.12.2025";"Wind";"7200";"7200";"99198";"Udestedt";"PNE AG";"ABR919574103430";"30.12.2025"
"SEE970776337733";"WP Am Heilborn II WEA 05";"In Planung";"";"30.12.2025";"Wind";"7200";"7200";"99198";"Udestedt";"PNE AG";"ABR919574103430";"30.12.2025"
"SEE984686309889";"WEA21";"In Planung";"";"22.12.2025";"Wind";"6200";"6200";"99441";"Magdala";"meridian Windpark Bucha III GmbH & Co.KG";"ABR964252174417";"22.12.2025"
"SEE946570524112";"WP Gebstedt WEA 02";"In Betrieb";"21.11.2025";"27.11.2025";"Wind";"4200";"4200";"99518";"Bad Sulza";"WKN Windpark Gebstedt GmbH & Co. KG";"ABR998574937467";"29.7.2026"
"SEE934079361710";"WP Gebstedt WEA 03";"In Betrieb";"14.11.2025";"27.11.2025";"Wind";"4200";"4200";"99510";"Ilmtal-Weinstraße";"WKN Windpark Gebstedt GmbH & Co. KG";"ABR998574937467";"6.8.2026"
"SEE992711537039";"TG08";"In Planung";"";"27.11.2025";"Wind";"7200";"7200";"99820";"Hörselberg-Hainich";"BOREAS Energie GmbH";"ABR909054335185";"27.11.2025"
"SEE934800429153";"WP Gebstedt WEA 05";"In Betrieb";"16.9.2025";"18.11.2025";"Wind";"4200";"4200";"99510";"Ilmtal-Weinstraße";"Windpark Gebstedt EDF RE GmbH & Co. KG";"ABR982409438687";"31.7.2026"
"SEE969099354640";"DS02";"In Planung";"";"16.10.2025";"Wind";"7200";"7200";"99100";"Döllstädt";"BOREAS Energie GmbH";"ABR909054335185";"16.10.2025"
"SEE949031370549";"OM25";"In Betrieb";"30.9.2025";"2.10.2025";"Wind";"6000";"6000";"99636";"Ostramondra";"Windkraft Roldisleben II GmbH & Co. KG";"ABR930528464988";"29.5.2026"
"SEE917673305601";"OL39";"In Betrieb";"30.9.2025";"2.10.2025";"Wind";"6000";"6000";"99628";"Buttstädt";"Windkraft Roldisleben II GmbH & Co. KG";"ABR930528464988";"29.5.2026"
"SEE955076694144";"WEA 1";"In Planung";"";"2.10.2025";"Wind";"7000";"7000";"07580";"Seelingstädt";"wpd Windpark Chursdorf GmbH & Co. KG";"ABR961293163639";"28.1.2026"
"SEE921800922470";"WEA 2";"In Planung";"";"2.10.2025";"Wind";"7000";"7000";"07580";"Seelingstädt";"wpd Windpark Chursdorf GmbH & Co. KG";"ABR961293163639";"28.1.2026"
"SEE972517176939";"WEA 3";"In Planung";"";"2.10.2025";"Wind";"7000";"7000";"07580";"Seelingstädt";"wpd Windpark Chursdorf GmbH & Co. KG";"ABR961293163639";"28.1.2026"
"SEE999248277568";"WP Großschwabhausen - WEA 01";"In Planung";"";"30.9.2025";"Wind";"5560";"5560";"99441";"Kleinschwabhausen";"Energiequelle GmbH";"ABR957301131660";"30.9.2025"
"SEE914191229075";"WP Großschwabhausen - WEA 06";"In Planung";"";"30.9.2025";"Wind";"5560";"5560";"99441";"Kleinschwabhausen";"Energiequelle GmbH";"ABR957301131660";"30.9.2025"
"SEE909417266798";"VB11";"In Betrieb";"18.8.2025";"19.8.2025";"Wind";"5600";"5600";"99610";"Sprötau";"Windkraft Vogelsberg II GmbH & Co. KG";"ABR942081798882";"26.11.2025"
"SEE972943050582";"VB12";"In Betrieb";"18.8.2025";"19.8.2025";"Wind";"5600";"5600";"99610";"Sprötau";"Windkraft Vogelsberg II GmbH & Co. KG";"ABR942081798882";"26.11.2025"
"SEE979058480594";"WEA 01";"In Planung";"";"4.7.2025";"Wind";"6000";"6000";"99974";"Mühlhausen";"Windpark Forstberg GmbH & Co. KG";"ABR975755627096";"4.7.2025"
